% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.201214	1	1	1	-84.2682	1072.27	0
0.202214	1	1	1	-84.2406	1224.3	0
0.203214	1	1	1	-83.6749	1518.36	0
0.204214	1	1	1	-84.3224	1138.23	0
0.205214	1	1	1	-84.1081	1071.36	0
0.206214	1	1	1	-84.5542	1030.07	0
0.207214	1	1	1	-84.4301	1122.56	0
0.208214	1	1	1	-84.5131	1064.54	0
0.209214	1	1	1	-84.6591	992.084	0
0.210214	1	1	1	-84.0026	1093.79	0
0.211214	1	1	1	-83.1415	1142.83	0
0.212214	1	1	1	-83.6352	961.221	0
0.213214	1	1	1	-83.5551	1272.91	0
0.214214	1	1	1	-83.8045	1312.39	0
0.215214	1	1	1	-83.0947	1516.57	0
0.216214	1	1	1	-83.7459	1575.99	0
0.217214	1	1	1	-83.5915	1878.2	0
0.218214	1	1	1	-83.4824	1818.4	0
0.219214	1	1	1	-83.4801	1825.3	0
0.220214	1	1	1	-83.1726	1744.67	0
0.221214	1	1	1	-82.8786	2192.03	0
0.222214	1	1	1	-82.8387	1974.1	0
0.223214	1	1	1	-82.9266	1770.38	0
0.224214	1	1	1	-83.0119	1809.16	0
0.225214	1	1	1	-82.6041	2251.04	0
0.226214	1	1	1	-82.9019	2309.69	0
0.227214	1	1	1	-83.2509	1992.21	0
0.228214	1	1	1	-82.8639	2246.2	0
0.229214	1	1	1	-82.2646	2501.99	0
0.230214	1	1	1	-82.2787	2346.73	0
0.231214	1	1	1	-82.819	1851.59	0
0.232214	1	1	1	-82.67	2245.87	0
0.233214	1	1	1	-82.5502	2466.91	0
0.234214	1	1	1	-82.4835	2907.41	0
0.235214	1	1	1	-81.7509	3417.95	0
0.236214	1	1	1	-81.6643	3223.92	0
0.237214	1	1	1	-80.9899	3361.3	0
0.238214	1	1	1	-81.3823	2720.68	0
0.239214	1	1	1	-82.359	2144.61	0
0.240214	1	1	1	-82.3218	1927.33	0
0.241214	1	1	1	-81.9258	1827.56	0
0.242214	1	1	1	-81.986	1639.1	0
0.243214	1	1	1	-82.0019	1599.55	0
0.244214	1	1	1	-82.3821	1603.27	0
0.245214	1	1	1	-83.0431	1451.81	0
0.246214	1	1	1	-82.9522	1418.65	0
0.247214	1	1	1	-83.6411	1133.23	0
0.248214	1	1	1	-84.6413	850.572	0
0.249214	1	1	1	-84.7488	843.655	0
0.250214	1	1	1	-84.065	855.237	0
0.251214	1	1	1	-84.2552	750.277	0
0.252214	1	1	1	-83.7677	793.702	0
0.253214	1	1	1	-84.5597	660.45	0
0.254214	1	1	1	-84.543	647.421	0
0.255214	1	1	1	-85.0019	551.041	0
0.256214	1	1	1	-85.0981	556.237	0
0.257214	1	1	1	-85.2209	532.887	0
0.258214	1	1	1	-85.2625	550.891	0
0.259214	1	1	1	-84.817	599.941	0
0.260214	1	1	1	-85.0906	600.696	0
0.261214	1	1	1	-84.8678	639.313	0
0.262214	1	1	1	-84.5181	630.43	0
0.263214	1	1	1	-84.1115	675.514	0
0.264214	1	1	1	-84.79	667.125	0
0.265214	1	1	1	-85.0471	596.262	0
0.266214	1	1	1	-84.8762	668.889	0
0.267214	1	1	1	-85.4141	542.139	0
0.268214	1	1	1	-85.1974	527.435	0
0.269214	1	1	1	-85.254	452.834	0
0.270214	1	1	1	-85.8265	417.723	0
0.271214	1	1	1	-85.4912	565.546	0
0.272214	1	1	1	-85.338	632.321	0
0.273214	1	1	1	-85.7276	623.597	0
0.274214	1	1	1	-86.2857	469.321	0
0.275214	1	1	1	-86.2036	443.117	0
0.276214	1	1	1	-86.9897	377.296	0
0.277214	1	1	1	-87.4417	326.525	0
0.278214	1	1	1	-87.9408	383.517	0
0.279214	1	1	1	-88.0853	395.631	0
0.280214	1	1	1	-87.5734	503.064	0
0.281214	1	1	1	-88.9703	323.988	0
0.282214	1	1	1	-89.6504	264.108	0
0.283214	1	1	1	-89.961	248.096	0
0.284214	1	1	1	-90.4327	216.247	0
0.285214	1	1	1	-91.0331	209.689	0
0.286214	1	1	1	-91.0104	189.632	0
0.287214	1	1	1	-90.5263	253.294	0
0.288214	1	1	1	-89.9679	276.268	0
0.289214	1	1	1	-90.5523	264.196	0
0.290214	1	1	1	-90.8134	255.09	0
0.291214	1	1	1	-89.6112	389.487	0
0.292214	1	1	1	-90.1077	329.432	0
0.293214	1	1	1	-90.5936	342.581	0
0.294214	1	1	1	-90.7676	403.473	0
0.295214	1	1	1	-91.0945	338.535	0
0.296214	1	1	1	-91.8456	256.827	0
0.297214	1	1	1	-90.881	317.458	0
0.298214	1	1	1	-90.9095	249.624	0
0.299214	1	1	1	-90.3743	284.934	0
0.300214	1	1	1	-90.0341	297.746	0
0.301214	1	1	1	-89.7624	352.85	0
0.302214	1	1	1	-89.4997	430.782	0
0.303214	1	1	1	-89.497	400.123	0
0.304214	1	1	1	-89.3291	357.118	0
0.305214	1	1	1	-88.9193	402.133	0
0.306214	1	1	1	-88.9117	381.79	0
0.307214	1	1	1	-88.5972	373.294	0
0.308214	1	1	1	-88.2732	355.589	0
0.309214	1	1	1	-88.7267	273.465	0
0.310214	1	1	1	-88.6976	226.871	0
0.311214	1	1	1	-87.7502	292.707	0
0.312214	1	1	1	-87.6626	278.281	0
0.313214	1	1	1	-88.0599	247.698	0
0.314214	1	1	1	-87.933	230.665	0
0.315214	1	1	1	-88.0877	246.875	0
0.316214	1	1	1	-87.838	212.224	0
0.317214	1	1	1	-86.6921	263.522	0
0.318214	1	1	1	-86.8271	280.336	0
0.319214	1	1	1	-86.774	269.326	0
0.320214	1	1	1	-86.9654	231.543	0
0.321214	1	1	1	-87.118	252.363	0
0.322214	1	1	1	-87.0752	261.635	0
0.323214	1	1	1	-87.3248	221.838	0
0.324214	1	1	1	-86.6236	254.9	0
0.325214	1	1	1	-87.0653	251.642	0
0.326214	1	1	1	-87.6628	237.333	0
0.327214	1	1	1	-87.4615	241.589	0
0.328214	1	1	1	-87.1151	238.592	0
0.329214	1	1	1	-87.7913	196.769	0
0.330214	1	1	1	-87.9971	205.121	0
0.331214	1	1	1	-87.6568	209.728	0
0.332214	1	1	1	-87.534	237.662	0
0.333214	1	1	1	-87.4788	241.702	0
0.334214	1	1	1	-87.0158	238.43	0
0.335214	1	1	1	-86.4051	332.657	0
0.336214	1	1	1	-86.15	310.397	0
0.337214	1	1	1	-85.7537	348.209	0
0.338214	1	1	1	-85.6109	328.463	0
0.339214	1	1	1	-85.7853	272.878	0
0.340214	1	1	1	-85.1577	315.75	0
0.341214	1	1	1	-85.3424	318.094	0
0.342214	1	1	1	-85.7669	264.397	0
0.343214	1	1	1	-85.8446	284.33	0
0.344214	1	1	1	-86.4321	255.414	0
0.345214	1	1	1	-86.5835	236.865	0
0.346214	1	1	1	-86.5684	240.314	0
0.347214	1	1	1	-86.7706	242.819	0
0.348214	1	1	1	-87.3567	212.942	0
0.349214	1	1	1	-87.1958	234.169	0
0.350214	1	1	1	-87.4089	209.92	0
0.351214	1	1	1	-86.6957	221.138	0
0.352214	1	1	1	-87.3877	213.668	0
0.353214	1	1	1	-87.2228	184.029	0
0.354214	1	1	1	-86.547	256.838	0
0.355214	1	1	1	-87.2544	206.893	0
0.356214	1	1	1	-87.2175	244.12	0
0.357214	1	1	1	-87.2225	254.472	0
0.358214	1	1	1	-87.741	277.705	0
0.359214	1	1	1	-87.4235	267.938	0
0.360214	1	1	1	-87.4989	272.744	0
0.361214	1	1	1	-87.6221	255.582	0
0.362214	1	1	1	-87.8974	232.759	0
0.363214	1	1	1	-87.953	252.604	0
0.364214	1	1	1	-88.099	233.99	0
0.365214	1	1	1	-87.7539	233.165	0
0.366214	1	1	1	-87.6517	240.014	0
0.367214	1	1	1	-87.0006	237.875	0
0.368214	1	1	1	-87.0974	185.569	0
0.369214	1	1	1	-86.976	187.752	0
0.370214	1	1	1	-86.4708	229.86	0
0.371214	1	1	1	-86.7339	214.61	0
0.372214	1	1	1	-86.5915	208.119	0
0.373214	1	1	1	-87.2094	213.946	0
0.374214	1	1	1	-87.1489	220.71	0
0.375214	1	1	1	-87.7825	198.486	0
0.376214	1	1	1	-88.2473	173.195	0
0.377214	1	1	1	-88.2715	172.922	0
0.378214	1	1	1	-88.3242	156.31	0
0.379214	1	1	1	-88.3132	177.613	0
0.380214	1	1	1	-88.318	180.02	0
0.381214	1	1	1	-88.4073	152.404	0
0.382214	1	1	1	-88.3909	148.694	0
0.383214	1	1	1	-88.1509	156.53	0
0.384214	1	1	1	-88.5322	126.827	0
0.385214	1	1	1	-87.9716	140.77	0
0.386214	1	1	1	-88.2605	144.689	0
0.387214	1	1	1	-88.0281	163.112	0
0.388214	1	1	1	-87.5806	180.822	0
0.389214	1	1	1	-87.558	193.884	0
0.390214	1	1	1	-87.3683	195.807	0
0.391214	1	1	1	-87.0913	190.187	0
0.392214	1	1	1	-87.4269	160.661	0
0.393214	1	1	1	-87.2623	182.786	0
0.394214	1	1	1	-87.6435	168.943	0
0.395214	1	1	1	-87.4929	189.879	0
0.396214	1	1	1	-87.2775	207.472	0
0.397214	1	1	1	-87.8025	217.471	0
0.398214	1	1	1	-87.9972	189.385	0
0.399214	1	1	1	-88.1084	216.084	0
0.400214	1	1	1	-88.1362	215.642	0
0.401214	1	1	1	-87.0431	270.08	0
0.402214	1	1	1	-86.5159	310.194	0
0.403214	1	1	1	-86.7729	319.533	0
0.404214	1	1	1	-87.0214	368.004	0
0.405214	1	1	1	-87.3693	379.865	0
0.406214	1	1	1	-87.8014	268.684	0
0.407214	1	1	1	-87.5755	329.447	0
0.408214	1	1	1	-88.3939	279.55	0
0.409214	1	1	1	-88.3729	242.803	0
0.410214	1	1	1	-88.8255	195.175	0
0.411214	1	1	1	-88.7551	211.598	0
0.412214	1	1	1	-88.883	201.644	0
0.413214	1	1	1	-88.6941	199.43	0
0.414214	1	1	1	-88.9207	226.242	0
0.415214	1	1	1	-89.1324	208.241	0
0.416214	1	1	1	-89.7363	152.164	0
0.417214	1	1	1	-89.8916	132.874	0
0.418214	1	1	1	-90.3321	123.912	0
0.419214	1	1	1	-90.3985	107.483	0
0.420214	1	1	1	-90.2957	114.385	0
0.421214	1	1	1	-90.5595	111.659	0
0.422214	1	1	1	-90.2114	133.84	0
0.423214	1	1	1	-89.5574	146.879	0
0.424214	1	1	1	-90.1916	122.062	0
0.425214	1	1	1	-90.3843	121.022	0
0.426214	1	1	1	-90.4612	105.342	0
0.427214	1	1	1	-90.0906	108.416	0
0.428214	1	1	1	-90.0576	113.33	0
0.429214	1	1	1	-89.575	130.788	0
0.430214	1	1	1	-89.654	134.135	0
0.431214	1	1	1	-89.5913	127.621	0
0.432214	1	1	1	-89.4843	120.61	0
0.433214	1	1	1	-89.4784	116.342	0
0.434214	1	1	1	-89.4783	112.031	0
0.435214	1	1	1	-89.0853	130.153	0
0.436214	1	1	1	-88.7154	139.06	0
0.437214	1	1	1	-88.835	123.169	0
0.438214	1	1	1	-88.7594	139.826	0
0.439214	1	1	1	-88.6831	133.075	0
0.440214	1	1	1	-89.3416	134.828	0
0.441214	1	1	1	-89.4843	127.022	0
0.442214	1	1	1	-90.1744	141.641	0
0.443214	1	1	1	-89.5986	165.334	0
0.444214	1	1	1	-89.6234	139.009	0
0.445214	1	1	1	-90.1382	139.018	0
0.446214	1	1	1	-90.0451	136.446	0
0.447214	1	1	1	-89.4263	145.046	0
0.448214	1	1	1	-89.5589	179.5	0
0.449214	1	1	1	-89.1768	209.575	0
0.450214	1	1	1	-88.8255	234.126	0
0.451214	1	1	1	-88.564	270.673	0
0.452214	1	1	1	-88.1002	362.894	0
0.453214	1	1	1	-87.59	447.227	0
0.454214	1	1	1	-87.415	383.216	0
0.455214	1	1	1	-86.8639	469.339	0
0.456214	1	1	1	-87.0874	458.881	0
0.457214	1	1	1	-86.8981	509.177	0
0.458214	1	1	1	-87.366	420.786	0
0.459214	1	1	1	-86.495	493.219	0
0.460214	1	1	1	-86.369	457.617	0
0.461214	1	1	1	-86.049	507.18	0
0.462214	1	1	1	-86.3716	418.5	0
0.463214	1	1	1	-86.6751	348.189	0
0.464214	1	1	1	-86.5437	340.577	0
0.465214	1	1	1	-86.31	325.372	0
0.466214	1	1	1	-86.8355	284.875	0
0.467214	1	1	1	-87.2387	258.888	0
0.468214	1	1	1	-86.8993	278.949	0
0.469214	1	1	1	-87.359	255.605	0
0.470214	1	1	1	-87.845	260.901	0
0.471214	1	1	1	-88.1642	258.279	0
0.472214	1	1	1	-88.191	241.79	0
0.473214	1	1	1	-87.8892	271.353	0
0.474214	1	1	1	-88.3597	237.836	0
0.475214	1	1	1	-88.3379	262.959	0
0.476214	1	1	1	-88.0037	281.615	0
0.477214	1	1	1	-87.64	315.453	0
0.478214	1	1	1	-87.5612	296.1	0
0.479214	1	1	1	-87.7218	304.392	0
0.480214	1	1	1	-88.2811	286.303	0
0.481214	1	1	1	-88.8195	265.001	0
0.482214	1	1	1	-88.7824	261.226	0
0.483214	1	1	1	-89.3321	214.521	0
0.484214	1	1	1	-89.1774	213.054	0
0.485214	1	1	1	-88.8543	186.332	0
0.486214	1	1	1	-88.8782	160.642	0
0.487214	1	1	1	-89.3349	148.91	0
0.488214	1	1	1	-89.444	157.161	0
0.489214	1	1	1	-89.4772	115.233	0
0.490214	1	1	1	-89.1452	121.317	0
0.491214	1	1	1	-89.4468	113.857	0
0.492214	1	1	1	-89.5273	107.512	0
0.493214	1	1	1	-89.6488	103.132	0
0.494214	1	1	1	-89.7824	98.1506	0
0.495214	1	1	1	-89.2959	101.589	0
0.496214	1	1	1	-89.392	93.1266	0
0.497214	1	1	1	-89.1982	95.7796	0
0.498214	1	1	1	-90.1106	69.4535	0
0.499214	1	1	1	-89.7717	73.4364	0
0.500214	1	1	1	-89.8682	73.9554	0
0.501214	1	1	1	-90.1873	77.1993	0
0.502214	1	1	1	-89.9872	71.4867	0
0.503214	1	1	1	-90.3615	69.8878	0
0.504214	1	1	1	-91.0632	60.4034	0
0.505214	1	1	1	-91.2101	68.8446	0
0.506214	1	1	1	-90.8429	69.636	0
0.507214	1	1	1	-90.4884	80.7517	0
0.508214	1	1	1	-89.6682	80.1294	0
0.509214	1	1	1	-89.59	83.843	0
0.510214	1	1	1	-89.6912	78.8396	0
0.511214	1	1	1	-89.3448	83.2606	0
